Temperature_1,Temperature_2,Pressure_1,Pressure_2,Flow_Rate_1,Flow_Rate_2,Vibration_1,Vibration_2,Chemical_A,Chemical_B,Motor_Current,Motor_Speed,Humidity,Power_Consumption,Efficiency,Abnormality_score,top_feature_1,top_feature_2,top_feature_3,top_feature_4,top_feature_5,top_feature_6,top_feature_7
20.248357076505616,25.198898143758846,1054.8960695895971,1053.4210360765717,48.64964345005124,48.3559194958293,0.0618438488424521,0.1377096136867821,74.13650639503507,-12.547642425610922,14.780212408600583,1807.0314254222,67.77183728353383,145.98528235690682,85.78518508231038,26.522009218416763,Temperature_1,Temperature_2,Pressure_1,,,,
21.22496307492701,26.227868271325807,1056.3745598327669,1053.900853833926,51.21096265856897,48.22004394376566,0.0827922997844099,0.1105902983107304,75.22984889550102,-13.291178792470872,15.030413444180128,1809.6622001979156,68.3973965954151,141.2881297200866,83.39663052312513,30.754099440902543,Temperature_1,Temperature_2,Pressure_1,,,,
22.823844269050348,25.304276275628613,1058.7073189080209,1052.301855306705,51.01323636935339,44.50303742522502,0.0917278893315671,0.1206783406349997,75.53565496224948,-13.55962167601853,14.742195002409336,1805.9841636219192,66.7761336706959,144.36793935548508,86.0620420052228,5.357524125255861,Temperature_1,Temperature_2,Pressure_1,,,,
24.29704883413675,26.22518769467623,1060.9471608905678,1054.3350819760858,52.38407694072192,42.313877945272,0.1377537531468038,0.1207679685282162,76.23799721057358,-12.912499149217892,15.172389655731903,1786.1798243130756,65.9750761743832,140.56973805939862,85.28391403235331,29.684201260235852,Temperature_1,Temperature_2,Pressure_1,,,,
24.213050331560524,25.603446277507544,1062.1243239767348,1053.2690217182414,48.81084687744575,40.872274210163305,0.1111310624906751,0.112473237107827,74.63314163671917,-12.423604667223518,15.027650504108925,1790.8337015855234,64.57169937857762,145.46125182828413,86.39149799751571,21.01351176371681,Temperature_1,Temperature_2,Pressure_1,,,,
24.71256065297075,25.269251461631875,1062.8186066913634,1052.541294752986,51.92658741474588,41.9941172520652,0.0732903686180021,0.0994130167817384,76.81009013186478,-13.215342367129836,14.93781231765923,1804.0876807289176,64.26249942368797,143.03456874218566,86.62216821583623,21.542405691404984,Temperature_1,Temperature_2,Pressure_1,,,,
25.78960640775369,24.591469555050644,1065.4744060355351,1052.4443142905411,50.002410950724446,49.42364163796309,0.1097207257883527,0.124844617554265,73.70982193077032,-11.509674622324402,15.209937625282564,1789.487799702175,59.3576819225886,145.93189127797973,87.60791506111916,47.13144233650113,Temperature_1,Temperature_2,Pressure_1,,,,
25.2133464960218,23.654403692128074,1064.0618647937256,1051.2458497050484,46.86582273786362,48.63478632407155,0.0690539202212326,0.1190849404221692,75.95682212821866,-12.845602567523065,14.784137238003227,1779.0124338564142,54.240558135435606,143.95514280884098,87.5006065203233,38.97290530954458,Temperature_1,Temperature_2,Pressure_1,,,,
24.09538982595472,23.054684831588013,1062.2403323672288,1049.6527527564156,48.72041512551149,45.47338845068797,0.1216538210777414,0.1275036070415485,76.24377696511733,-12.79300689448348,14.725194848156942,1802.0590669411129,57.28013569299032,140.9573383027769,87.63214688198337,17.252915826946353,Temperature_1,Temperature_2,Pressure_1,,,,
23.80681392772572,21.667619953435583,1060.0783926438908,1048.6834539949975,48.87514027525312,44.78408001785101,0.0905775069636424,0.1119959954034124,77.48108589109381,-13.77530908866804,14.859208100057744,1798.5824244597245,51.25475192090445,146.25050800337786,87.85788388153934,20.05702113626562,Temperature_1,Temperature_2,Pressure_1,,,,
22.26829115359377,21.07290654990185,1058.8539763728218,1045.696008533546,44.18680405990874,45.72279909257774,0.0981272762252166,0.1383123194821957,76.954482505255,-14.070737946780373,14.73834476751908,1797.025507145225,51.222305107946354,146.4121730595195,86.82346787105391,33.7016763965738,Temperature_1,Temperature_2,Pressure_1,,,,
21.06123034872748,19.979904756220343,1055.320060302147,1044.8149295669068,46.97455044286757,44.05313024310058,0.1265159329508438,0.1068483932818223,75.57732666889133,-12.259756244035268,14.844164606987931,1802.955059416223,51.23381475099074,145.24575647701687,86.67048917561482,15.82858947068582,Temperature_1,Temperature_2,Pressure_1,,,,
20.120981135783016,19.075993656507244,1055.3172231441913,1043.0405326282787,48.4617153004254,43.32332575297605,0.074256728628315,0.1456806042602683,76.01500687418299,-13.302059503482058,14.847928261022169,1806.376058122312,50.39922083680557,142.02830956288489,87.60486789074722,20.45670623062837,Temperature_1,Temperature_2,Pressure_1,,,,
